Title,Year,Director,Missing,Search Query
"Raitu Bharatam",1994,"Tripuraneni Chittibabu","poster; tmdb_id","Raitu Bharatam 1994 Telugu film Krishna"
"Doragariki Donga Pellam",1994,"S. S. Ravichandra","poster; tmdb_id","Doragariki Donga Pellam 1994 Telugu film Krishna"
"Gharana Alludu",1994,"Muthyala Subbaiah","poster; tmdb_id","Gharana Alludu 1994 Telugu film Krishna"
"Super Mogudu",1995,"Krishna","poster; tmdb_id","Super Mogudu 1995 Telugu film Krishna"
"Bharata Simham",1995,"Sagar","poster; tmdb_id","Bharata Simham 1995 Telugu film Krishna"
"Sampradayam",1996,"S. V. Krishna Reddy","poster; heroine; tmdb_id","Sampradayam 1996 Telugu film Krishna"
"Puttinti Gowravam",1996,"K. Vasu","poster; heroine; tmdb_id","Puttinti Gowravam 1996 Telugu film Krishna"
"Akkum Bakkum",1996,"Ram Gopal Varma","poster; tmdb_id","Akkum Bakkum 1996 Telugu film Krishna"
"Bobbili Dora",1997,"Sagar","poster; heroine; tmdb_id","Bobbili Dora 1997 Telugu film Krishna"
"Adhirindhi Guru",1997,"Sagar","poster; heroine; tmdb_id","Adhirindhi Guru 1997 Telugu film Krishna"
"Vareva Moguda",1998,"S. V. Krishna Reddy","poster; heroine; tmdb_id","Vareva Moguda 1998 Telugu film Krishna"
"Sambhavam",1998,"A. Kodandarami Reddy","poster; heroine; tmdb_id","Sambhavam 1998 Telugu film Krishna"
"Maanavudu Daanavudu",1999,"Krishna Reddy","poster; tmdb_id","Maanavudu Daanavudu 1999 Telugu film Krishna"
"Yee Taram Nehru",2000,"Shiva","poster; heroine; tmdb_id","Yee Taram Nehru 2000 Telugu film Krishna"
"CBI Officer",2004,"Shiva","poster; heroine; tmdb_id","CBI Officer 2004 Telugu film Krishna"
"24 Gantalu",2004,"D. S. Rao","poster; heroine; tmdb_id","24 Gantalu 2004 Telugu film Krishna"
"Evaru Nenu",2005,"Krishna","poster; heroine; tmdb_id","Evaru Nenu 2005 Telugu film Krishna"
"Amma Nanna Lekunte",2007,"Y. Ramakrishna","poster; heroine; tmdb_id","Amma Nanna Lekunte 2007 Telugu film Krishna"
"Sevakudu",2013,"Gopichand Malineni","poster; heroine; tmdb_id","Sevakudu 2013 Telugu film Krishna"
